Area,Location,No. of Bedrooms,City,CarParking,SwimmingPool,24X7Security,LiftAvailable,ClubHouse,Price
3340,227,4.0,0,0.0,1.0,1.0,1.0,1.0,30000000.0
1675,143,3.0,0,0.0,0.0,0.0,1.0,0.0,8358000.0
1670,281,3.0,0,1.0,1.0,1.0,1.0,1.0,6845000.0
1220,213,2.0,0,1.0,1.0,1.0,1.0,1.0,6797000.0
2502,651,4.0,0,1.0,1.0,1.0,1.0,1.0,20000000.0
1438,501,3.0,0,1.0,0.0,1.0,1.0,0.0,7105000.0
1405,710,3.0,0,0.0,1.0,1.0,0.0,0.0,8405000.0
660,164,1.0,0,1.0,1.0,1.0,0.0,1.0,3506000.0
1362,715,2.0,0,1.0,1.0,1.0,1.0,1.0,7700000.0
1735,31,3.0,0,1.0,1.0,1.0,1.0,1.0,9369000.0
1575,235,3.0,0,0.0,1.0,1.0,0.0,0.0,8716000.0
1120,274,2.0,0,1.0,1.0,0.0,1.0,1.0,5394000.0
1415,710,3.0,0,0.0,1.0,0.0,1.0,0.0,6367000.0
1270,93,2.0,0,1.0,1.0,1.0,1.0,0.0,5080000.0
1311,80,3.0,0,1.0,1.0,1.0,1.0,1.0,7209999.000000001
1210,493,2.0,0,1.0,1.0,0.0,1.0,1.0,5700000.0
3340,227,4.0,0,0.0,1.0,1.0,1.0,1.0,30000000.0
1675,143,3.0,0,0.0,0.0,0.0,1.0,0.0,8358000.0
1670,281,3.0,0,1.0,1.0,1.0,1.0,1.0,6845000.0
1220,213,2.0,0,1.0,1.0,1.0,1.0,1.0,6797000.0
2502,651,4.0,0,1.0,1.0,1.0,1.0,1.0,20000000.0
1438,501,3.0,0,1.0,0.0,1.0,1.0,0.0,7105000.0
1405,710,3.0,0,0.0,1.0,1.0,0.0,0.0,8405000.0
660,164,1.0,0,1.0,1.0,1.0,0.0,1.0,3506000.0
1362,715,2.0,0,1.0,1.0,1.0,1.0,1.0,7700000.0
1735,31,3.0,0,1.0,1.0,1.0,1.0,1.0,9369000.0
1575,235,3.0,0,0.0,1.0,1.0,0.0,0.0,8716000.0
1120,274,2.0,0,1.0,1.0,0.0,1.0,1.0,5394000.0
1415,710,3.0,0,0.0,1.0,0.0,1.0,0.0,6367000.0
1270,93,2.0,0,1.0,1.0,1.0,1.0,0.0,5080000.0
1311,80,3.0,0,1.0,1.0,1.0,1.0,1.0,7209999.000000001
1210,493,2.0,0,1.0,1.0,0.0,1.0,1.0,5700000.0
1705,710,3.0,0,0.0,1.0,1.0,1.0,1.0,12400000.0
1187,77,2.0,0,0.0,1.0,1.0,1.0,1.0,4900000.0
3340,227,4.0,0,0.0,1.0,1.0,1.0,1.0,30000000.0
1675,143,3.0,0,0.0,0.0,0.0,1.0,0.0,8358000.0
1670,281,3.0,0,1.0,1.0,1.0,1.0,1.0,6845000.0
1220,213,2.0,0,1.0,1.0,1.0,1.0,1.0,6797000.0
2502,651,4.0,0,1.0,1.0,1.0,1.0,1.0,20000000.0
1438,501,3.0,0,1.0,0.0,1.0,1.0,0.0,7105000.0
1405,710,3.0,0,0.0,1.0,1.0,0.0,0.0,8405000.0
660,164,1.0,0,1.0,1.0,1.0,0.0,1.0,3506000.0
1362,715,2.0,0,1.0,1.0,1.0,1.0,1.0,7700000.0
1735,31,3.0,0,1.0,1.0,1.0,1.0,1.0,9369000.0
1575,235,3.0,0,0.0,1.0,1.0,0.0,0.0,8716000.0
1120,274,2.0,0,1.0,1.0,0.0,1.0,1.0,5394000.0
1415,710,3.0,0,0.0,1.0,0.0,1.0,0.0,6367000.0
1270,93,2.0,0,1.0,1.0,1.0,1.0,0.0,5080000.0
1311,80,3.0,0,1.0,1.0,1.0,1.0,1.0,7209999.000000001
1210,493,2.0,0,1.0,1.0,0.0,1.0,1.0,5700000.0
1705,710,3.0,0,0.0,1.0,1.0,1.0,1.0,12400000.0
1187,77,2.0,0,0.0,1.0,1.0,1.0,1.0,4900000.0
1270,93,2.0,0,1.0,1.0,1.0,1.0,0.0,5080000.0
1726,214,3.0,0,1.0,1.0,1.0,1.0,1.0,9458000.0
2470,517,4.0,0,1.0,1.0,1.0,1.0,1.0,23700000.0
1570,253,3.0,0,0.0,1.0,1.0,0.0,0.0,7363000.0
1120,234,2.0,0,0.0,0.0,0.0,0.0,0.0,5489000.0
1506,241,3.0,0,1.0,1.0,1.0,0.0,1.0,4216000.0
1040,318,2.0,0,1.0,0.0,1.0,1.0,0.0,4368000.0
1150,98,2.0,0,0.0,0.0,0.0,0.0,0.0,7600000.0
1045,213,2.0,0,0.0,0.0,1.0,1.0,0.0,4545000.0
2480,63,3.0,0,1.0,1.0,1.0,1.0,1.0,23100000.0
1160,493,2.0,0,1.0,1.0,1.0,1.0,1.0,8000000.0
1143,493,2.0,0,1.0,1.0,1.0,1.0,1.0,4514000.0
1300,493,2.0,0,1.0,1.0,1.0,1.0,1.0,5460000.0
966,429,2.0,0,0.0,1.0,0.0,1.0,1.0,4414000.0
1245,77,2.0,0,0.0,0.0,1.0,1.0,0.0,8868000.0
1275,501,2.0,0,0.0,0.0,1.0,1.0,0.0,6133000.0
1085,42,2.0,0,0.0,1.0,1.0,1.0,1.0,3038000.0
1286,429,3.0,0,0.0,1.0,0.0,1.0,1.0,7100000.0
1155,64,2.0,0,1.0,1.0,1.0,0.0,1.0,7506999.0
1304,710,3.0,0,1.0,1.0,1.0,0.0,1.0,6520000.0
1120,292,2.0,0,1.0,0.0,1.0,1.0,0.0,6389000.0
2017,221,3.0,0,1.0,1.0,0.0,1.0,1.0,11700000.0
1304,164,3.0,0,0.0,1.0,0.0,1.0,1.0,4562000.0
649,501,1.0,0,0.0,0.0,0.0,1.0,0.0,2951000.0
1108,318,2.0,0,1.0,1.0,1.0,0.0,1.0,4264000.0
1675,318,3.0,0,1.0,0.0,0.0,1.0,0.0,6698000.0
1075,274,2.0,0,1.0,1.0,0.0,1.0,1.0,4500000.0
1120,681,2.0,0,0.0,0.0,0.0,1.0,0.0,4928000.0
1350,692,2.0,0,0.0,0.0,0.0,0.0,0.0,6100000.0
1404,165,2.0,0,1.0,1.0,1.0,0.0,1.0,6151000.0
1080,77,2.0,0,0.0,1.0,1.0,1.0,0.0,5426000.0
1800,225,3.0,0,0.0,0.0,0.0,1.0,0.0,13000000.0
1060,249,2.0,0,1.0,0.0,0.0,1.0,1.0,4850000.0
1540,420,3.0,0,1.0,1.0,1.0,1.0,0.0,4604000.0
1110,30,3.0,0,0.0,1.0,1.0,1.0,1.0,3607000.0
